Cohort,Company,Fiscal Year,Quarter,EBIT,Invested Capital,Risk Free Rate (AveraCompany2 Annual 3-Month T Bill),Capital CharCompany2,EBITDA,Return Volatility,Company Value,Company Value Volatility,Level of Protection,Risk Capital,Cost of Equity,Risk Premium,Risk CharCompany2,Risk Adjusted Profit,RAROC
Industry1,Company15,2015,4,-96,12069,0.001254839,15.14464839,-42,0.278236595,12830.76602,3569.988649,2.478327,8847.599258,0.098200992,0.096946153,857.7407153,-968.8853636,-0.080278844
Industry1,Company15,2016,1,252,11911,0.002904918,34.60047869,302,0.278236595,12323.66438,3428.894416,2.478327,8497.921611,0.097374676,0.094469758,802.7965961,-585.3970748,-0.049147601
Industry1,Company15,2016,2,247,11700,0.00259375,30.346875,299,0.278236595,13963.70435,3885.213555,2.478327,9628.829653,0.091702641,0.089108891,858.0143303,-641.3612053,-0.054817197
Industry1,Company15,2016,3,215,11811,0.002982813,35.22999844,266,0.278236595,14601.52785,4062.679392,2.478327,10068.64803,0.087168539,0.084185727,847.6364495,-667.8664479,-0.056546139
Industry1,Company15,2016,4,282,11865,0.004332787,51.40851639,327,0.278236595,14780.79055,4112.556836,2.478327,10192.26065,0.088998814,0.084666027,862.9382171,-632.3467335,-0.053295131
Industry1,Company15,2017,1,237,12164,0.00606129,73.72953548,289,0.278236595,16042.38571,4463.578777,2.478327,11062.2078,0.091345978,0.085284688,943.4369398,-780.1664753,-0.064137329
Industry1,Company15,2017,2,294,12432,0.009080952,112.8944,348,0.278236595,16045.76463,4464.518917,2.478327,11064.53777,0.092081471,0.083000519,918.3623728,-737.2567728,-0.059303151
Industry1,Company15,2017,3,232,12468,0.010539683,131.4087619,291,0.278236595,17671.79511,4916.9401,2.478327,12185.78541,0.091797518,0.081257835,990.1905459,-889.5993078,-0.071350602
Industry1,Company15,2017,4,268,12729,0.012266129,156.1355565,328,0.278236595,18143.90252,5048.29766,2.478327,12511.33239,0.084131554,0.071865425,899.1322244,-787.2677808,-0.061848361
Industry1,Company15,2018,1,251,12873,0.015821311,203.6677426,307,0.278236595,19328.652,5377.938321,2.478327,13328.28974,0.096007901,0.08018659,1068.750104,-1021.417846,-0.079345751
Industry1,Company15,2018,2,321,13530,0.018746875,253.6452188,381,0.278236595,17649.6026,4910.765333,2.478327,12170.48231,0.10741298,0.088666105,1079.10926,-1011.754478,-0.074778602
Industry1,Company15,2018,3,272,13184,0.020746032,273.5156825,326,0.278236595,19593.41555,5451.605228,2.478327,13510.86043,0.103145618,0.082399587,1113.289316,-1114.804998,-0.084557418
Industry1,Company15,2018,4,276,13518,0.023567213,318.5815869,347,0.278236595,16007.53199,4453.881198,2.478327,11038.17403,0.103621847,0.080054634,883.6569806,-926.2385675,-0.068518906
Industry2,Company21,2008,1,n/a,n/a,0.021044262,0.021044262,n/a,10.24095341,n/a,10.24095341,1.381705,14.14997653,n/a,n/a,14.14997653,n/a,n/a
Industry2,Company21,2008,2,n/a,n/a,0.016501563,0.016501563,n/a,10.24095341,n/a,10.24095341,1.381705,14.14997653,n/a,n/a,14.14997653,n/a,n/a
Industry2,Company21,2008,3,n/a,n/a,0.015203125,0.015203125,n/a,10.24095341,n/a,10.24095341,1.381705,14.14997653,n/a,n/a,14.14997653,n/a,n/a
Industry2,Company21,2008,4,n/a,n/a,0.003276271,0.003276271,n/a,10.24095341,n/a,10.24095341,1.381705,14.14997653,n/a,n/a,14.14997653,n/a,n/a
Industry2,Company21,2009,1,n/a,n/a,0.002122951,0.002122951,n/a,10.24095341,n/a,10.24095341,1.381705,14.14997653,n/a,n/a,14.14997653,n/a,n/a
Industry2,Company21,2009,2,n/a,n/a,0.001712698,0.001712698,n/a,10.24095341,n/a,10.24095341,1.381705,14.14997653,n/a,n/a,14.14997653,n/a,n/a
Industry2,Company21,2009,3,n/a,n/a,0.0016,0.0016,n/a,10.24095341,n/a,10.24095341,1.381705,14.14997653,n/a,n/a,14.14997653,n/a,n/a
Industry2,Company21,2009,4,-22.925,130.424,0.000604839,0.078885484,-20.99,10.24095341,n/a,10.24095341,1.381705,14.14997653,0.10650936,0.105904521,1.498546491,-24.50243198,-0.187867509
Industry2,Company21,2010,1,-25.998,145.32,0.001098361,0.15961377,-23.857,10.24095341,n/a,10.24095341,1.381705,14.14997653,0.10401654,0.102918179,1.456289823,-27.61390359,-0.190021357
Industry2,Company21,2010,2,-31.362,147.974,0.001482813,0.219417697,-28.879,10.24095341,501.8166626,5139.081063,1.381705,7100.694,0.11748103,0.115998218,823.6678471,-855.2492648,-5.779726606
Industry2,Company21,2010,3,-37.834,361.621,0.001548438,0.559947517,-34.725,10.24095341,1863.686586,19085.9275,1.381705,26371.12146,0.029398826,0.027850389,734.4459839,-772.8399314,-2.137154456
Industry2,Company21,2010,4,-51.645,386.082,0.001395161,0.538646661,-48.755,10.24095341,2500.454893,25607.04207,1.381705,35381.37806,-0.001609603,-0.003004764,-106.3127008,54.12905411,0.140200927
Industry2,Company21,2011,1,-47.346,407.289,0.001267742,0.516337345,-43.829,10.24095341,2654.17181,27181.24986,1.381705,37556.46883,0.023005884,0.021738142,816.4078513,-864.2701886,-2.122007195
Industry2,Company21,2011,2,-58.739,646.155,0.000452381,0.292308214,-54.421,10.24095341,2844.40921,29129.4622,1.381705,40248.32357,0.040994967,0.040542586,1631.77113,-1690.802438,-2.616713386
Industry2,Company21,2011,3,-64.477,700.25,0.00025,0.1750625,-60.197,10.24095341,2488.826588,25487.95714,1.381705,35216.83782,0.093983951,0.093733951,3301.013356,-3365.665418,-4.806376892
Industry2,Company21,2011,4,-80.927,713.448,0.000147541,0.10526282,-76.123,10.24095341,2985.206511,30571.3608,1.381705,42240.60208,0.089563942,0.089416401,3777.002601,-3858.034864,-5.407590832
Industry2,Company21,2012,1,-88.763,761.1,0.000706452,0.537680323,-84.6,10.24095341,4038.665035,41359.78047,1.381705,57147.01547,0.091793783,0.091087331,5205.369109,-5294.669789,-6.956602009
Industry2,Company21,2012,2,-106.175,776.869,0.000882812,0.685829664,-101.827,10.24095341,3523.986653,36088.98314,1.381705,49864.32845,0.099654193,0.098771381,4925.16857,-5032.029399,-6.477320371
Industry2,Company21,2012,3,-108.46,809.177,0.001015873,0.822021079,-100.938,10.24095341,3485.83778,35698.30231,1.381705,49324.52279,0.105210446,0.104194573,5139.3476,-5248.629622,-6.486380139
Industry2,Company21,2012,4,-90.883,1114.19,0.000896721,0.999117918,-78.091,10.24095341,4133.21346,42328.04649,1.381705,58484.87348,0.112655383,0.111758661,6536.191172,-6628.07329,-5.948781886
