src,dst,rel
10282,3731,subClassOf
1797,3731,subClassOf
7046,13483,subClassOf
5024,577,subClassOf
9737,5024,subClassOf
7486,5024,subClassOf
617,5024,subClassOf
2790,577,subClassOf
1588,2790,subClassOf
456,577,subClassOf
971,456,subClassOf
3624,456,subClassOf
2817,456,subClassOf
4532,577,subClassOf
13044,4532,subClassOf
2952,2956,subClassOf
12801,2952,subClassOf
9702,2952,subClassOf
7904,2952,subClassOf
11738,2952,subClassOf
2200,2952,subClassOf
5052,2956,subClassOf
1616,2956,subClassOf
11491,1616,subClassOf
9665,1616,subClassOf
9078,1616,subClassOf
3278,1616,subClassOf
6629,1616,subClassOf
1226,1616,subClassOf
