id,cap_name,type,prevParentId,prevId,capability_lib_id,industry_tree_id,company_id,hierarchy_id,parentId,tags,location,technologies,mpath,capability
1631,Resource Planning & Alignment,master,22740,22741,1215,,,1,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1631.,
1632,Materials Planning & Procurement,master,22740,22742,1216,,,2,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1632.,
1633,Supplier Evaluation & Onboarding,master,22740,22743,1217,,,3,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1633.,
1634,DevOps,master,22740,22744,367,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1634.,
1635,Market Testing,master,22728,22746,1056,,,1,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1635.,
1636,Market Surveys,master,22746,22747,1105,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1636.,
1637,Customer Intelligence,master,22746,22748,1219,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1637.,
1638,Market Opportunities Analysis,master,22746,22749,1220,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1638.,
1639,Market Measures Benchmarking,master,22746,22750,1221,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1639.,
1640,Quality Management,master,22763,22751,748,,,3,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1640.,
1641,Risk Management,master,6385,22752,808,,,14,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1641.,
1642,Compliance Management,master,6385,22753,257,,,13,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1642.,
1643,Predictive Analytics,master,22751,22754,686,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1643.,
1644,Quality Management,master,6385,22755,748,,,12,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1644.,
1645,R&D,master,6385,22756,755,,,45,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1645.,
1646,Autonomous Vehicles,master,6385,22757,129,,,8,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1646.,
1647,Cognitive Computing,master,22734,22758,240,,,1,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1647.,
1648,Engineering,master,22756,22759,407,,,1,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1648.,
1649,IoT & Sensors,master,22734,22760,515,,,2,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1649.,
1650,Prototyping,master,22756,22761,741,,,3,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1650.,
1651,Robotics,master,22734,22762,815,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1651.,
1652,Risk Management,master,23128,22763,808,,,4,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1652.,
1653,Asset Management,master,6385,22764,116,,,44,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1653.,
1654,Electronic Asset Management,master,22478,22765,398,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1654.,
1655,IP Management,master,22478,22766,517,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1655.,
1656,Compliance Management,master,22336,22767,257,,,6,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1656.,
1657,Compliance Training & Monitoring,master,22767,22768,259,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1657.,
1658,Data Management,master,23663,22769,345,,,9,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1658.,
1659,Data Insurance,master,22769,22770,344,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1659.,
1660,Cybersecurity,master,22769,22771,342,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1660.,
1661,Data Privacy,master,22769,22772,348,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1661.,
1662,Environmental Protection,master,23096,22773,409,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1662.,
1663,Clean Water Treatment,master,22773,22774,223,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1663.,
