id,cap_name,type,industry_tree_id,company_id,parentId,mpath,capability_lib_id,capability,tags,location,technologies,hierarchy_id
15592,Quality Management,master,,,15564,6385.15512.15564.15592.,774,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15594,Risk Management,master,,,15564,6385.15512.15564.15594.,834,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15596,Risk Management,master,,,15512,6385.15512.15596.,834,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],11
15602,Health & Safety,master,,,15596,6385.15512.15596.15602.,487,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15604,Quality Monitoring,master,,,15596,6385.15512.15596.15604.,775,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15606,Reporting & Submissions,master,,,15596,6385.15512.15596.15606.,817,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15610,Compliance Management,master,,,15606,6385.15512.15596.15606.15610.,279,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15612,Sales Management,master,,,15512,6385.15512.15612.,853,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],12
15616,Supply Chain Management,master,,,15512,6385.15512.15616.,925,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],3
15624,Track,master,,,15616,6385.15512.15616.15624.,939,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15628,Plan/Design,master,,,15616,6385.15512.15616.15628.,690,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15634,Distribution Planning,master,,,15628,6385.15512.15616.15628.15634.,400,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15638,Replenishment,master,,,15634,6385.15512.15616.15628.15634.15638.,812,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15640,Source/Procure,master,,,15616,6385.15512.15616.15640.,899,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
